X,Y,Z,ppm
-0.215015,0.0316179,1.48467,2.64E+04
-0.215018,0.0317624,1.48466,3.11E+04
-0.21502,0.0319085,1.48465,3.44E+04
-0.215022,0.0320595,1.48464,3.42E+04
-0.215022,0.0322173,1.48463,3.19E+04
-0.215022,0.0324854,1.48461,3.25E+04
-0.215016,0.0329368,1.48458,3.16E+04
-0.215007,0.0333855,1.48455,3.07E+04
-0.215003,0.0336797,1.48452,3.02E+04
-0.214996,0.0341482,1.48446,3.00E+04
-0.214993,0.0344393,1.48442,2.98E+04
-0.214993,0.0345557,1.48441,2.97E+04
-0.214992,0.0346714,1.48439,2.92E+04
-0.214991,0.0347869,1.48437,2.83E+04
-0.214991,0.034902,1.48436,2.78E+04
-0.21499,0.0350174,1.48434,2.86E+04
-0.21499,0.0351327,1.48432,2.94E+04
-0.214989,0.0352484,1.4843,2.95E+04
-0.214988,0.0354311,1.48427,2.94E+04
-0.214987,0.0355557,1.48425,2.93E+04
-0.214987,0.0356803,1.48423,2.85E+04
-0.214986,0.0358049,1.4842,2.76E+04
-0.214985,0.0359299,1.48418,2.79E+04
-0.214984,0.0360553,1.48416,2.85E+04
-0.214983,0.036181,1.48413,2.84E+04
-0.214979,0.0365641,1.48406,2.78E+04
-0.214976,0.0368122,1.484,2.68E+04
-0.214972,0.0370542,1.48395,2.67E+04
-0.214965,0.0374429,1.48386,2.64E+04
-0.214956,0.0378302,1.48376,2.60E+04
-0.214953,0.0379268,1.48374,2.60E+04
-0.214952,0.0379751,1.48372,2.59E+04
-0.214951,0.0380233,1.48371,2.59E+04
-0.214948,0.0380967,1.48369,2.58E+04
-0.214945,0.0382067,1.48366,2.57E+04
-0.214939,0.0383714,1.48362,2.56E+04
-0.21493,0.0386177,1.48355,2.55E+04
-0.21492,0.0388429,1.48348,2.53E+04
-0.214911,0.0390246,1.48343,2.53E+04
-0.214901,0.039206,1.48337,2.50E+04
-0.214891,0.039387,1.48332,2.49E+04
-0.214879,0.0395748,1.48326,2.50E+04
-0.21486,0.0398393,1.48317,2.51E+04
-0.214839,0.0401032,1.48309,2.51E+04
-0.214816,0.0403664,1.483,2.52E+04
-0.214798,0.0405528,1.48294,2.52E+04
-0.214779,0.0407473,1.48287,2.51E+04
-0.214757,0.0409411,1.4828,2.51E+04
-0.214723,0.041236,1.4827,2.51E+04
-0.214684,0.0415344,1.48259,2.48E+04
-0.214657,0.0417318,1.48252,2.47E+04
-0.214629,0.0419265,1.48245,2.45E+04
-0.214603,0.0420978,1.48238,2.44E+04
-0.214579,0.0422427,1.48232,2.44E+04
-0.214555,0.0423865,1.48227,2.43E+04
-0.214516,0.0426023,1.48218,2.43E+04
-0.214474,0.0428176,1.4821,2.43E+04
-0.214457,0.0429045,1.48206,2.43E+04
-0.214419,0.0430822,1.48199,2.43E+04
-0.2144,0.0431681,1.48195,2.42E+04
-0.214359,0.0433435,1.48188,2.42E+04
-0.214317,0.0435182,1.48181,2.41E+04
-0.214273,0.0436918,1.48173,2.39E+04
-0.214208,0.0439315,1.48163,2.35E+04
-0.214127,0.0442152,1.48151,2.35E+04
-0.214035,0.0445222,1.48138,2.35E+04
-0.213929,0.0448472,1.48124,2.35E+04
-0.213815,0.0451686,1.4811,2.34E+04
-0.213694,0.045486,1.48095,2.31E+04
-0.213567,0.0457952,1.48081,2.29E+04
-0.213433,0.0460996,1.48067,2.28E+04
-0.213274,0.0464411,1.48051,2.27E+04
-0.213108,0.0467794,1.48036,2.26E+04
-0.212968,0.0470508,1.48023,2.25E+04
-0.212823,0.0473189,1.4801,2.24E+04
-0.212625,0.0476651,1.47994,2.22E+04
-0.212465,0.0479274,1.47981,2.21E+04
-0.212316,0.0481609,1.47969,2.20E+04
-0.212145,0.0484169,1.47957,2.19E+04
-0.211969,0.0486697,1.47944,2.19E+04
-0.211789,0.0489189,1.47932,2.16E+04
-0.211454,0.0493649,1.4791,2.13E+04
-0.211112,0.0498053,1.47888,2.10E+04
-0.210907,0.0500591,1.47875,2.07E+04
-0.2107,0.050306,1.47863,2.04E+04
-0.210486,0.0505486,1.4785,2.01E+04
-0.210436,0.050604,1.47847,2.00E+04
-0.210388,0.0506567,1.47844,1.99E+04
-0.210341,0.0507094,1.47841,1.98E+04
-0.210293,0.0507622,1.47839,1.97E+04
-0.210245,0.0508149,1.47836,1.95E+04
-0.210197,0.0508678,1.47833,1.94E+04
-0.21015,0.0509206,1.4783,1.93E+04
-0.210102,0.0509735,1.47828,1.92E+04
-0.210054,0.0510265,1.47825,1.90E+04
-0.210007,0.0510794,1.47822,1.89E+04
-0.209959,0.0511325,1.4782,1.88E+04
-0.209912,0.0511838,1.47817,1.88E+04
-0.209866,0.051234,1.47814,1.88E+04
-0.20982,0.0512839,1.47812,1.88E+04
-0.209771,0.0513361,1.47809,1.89E+04
-0.209722,0.0513881,1.47806,1.89E+04
-0.209672,0.0514398,1.47804,1.89E+04
-0.209623,0.0514911,1.47801,1.90E+04
-0.209573,0.0515422,1.47798,1.90E+04
-0.209522,0.051593,1.47796,1.91E+04
-0.209472,0.0516436,1.47793,1.91E+04
-0.209421,0.0516938,1.47791,1.92E+04
-0.209369,0.0517438,1.47788,1.92E+04
-0.209318,0.0517936,1.47785,1.92E+04
-0.209266,0.0518433,1.47783,1.93E+04
-0.209007,0.0520832,1.4777,1.90E+04
-0.208743,0.0523168,1.47758,1.88E+04
-0.20847,0.052549,1.47745,1.86E+04
-0.208128,0.0528339,1.47731,1.83E+04
-0.207598,0.0532604,1.47708,1.78E+04
-0.207061,0.0536745,1.47687,1.75E+04
-0.206516,0.0540802,1.47665,1.72E+04
-0.205962,0.0544771,1.47644,1.68E+04
-0.205371,0.0548863,1.47623,1.63E+04
-0.204768,0.0552874,1.47602,1.60E+04
-0.20416,0.0556749,1.47582,1.57E+04
-0.20354,0.0560511,1.47563,1.54E+04
-0.202907,0.0564198,1.47545,1.50E+04
-0.202234,0.0567981,1.47527,1.46E+04
-0.20149,0.0572046,1.47508,1.43E+04
-0.200686,0.0576307,1.47488,1.39E+04
-0.199874,0.0580443,1.47469,1.34E+04
-0.199096,0.0584259,1.47452,1.30E+04
-0.198269,0.0588177,1.47435,1.28E+04
-0.197349,0.0592416,1.47417,1.27E+04
-0.196541,0.0596044,1.47403,1.26E+04
-0.195819,0.0599216,1.47391,1.25E+04
-0.195093,0.0602337,1.47379,1.21E+04
-0.194282,0.0605737,1.47367,1.15E+04
-0.193478,0.0609033,1.47356,1.10E+04
-0.192669,0.0612264,1.47346,1.05E+04
-0.191988,0.0614926,1.47338,1.05E+04
-0.19131,0.0617548,1.4733,1.04E+04
-0.190413,0.0620957,1.4732,1.04E+04
-0.189516,0.0624307,1.47311,1.02E+04
-0.188513,0.0627998,1.47302,1.00E+04
-0.187143,0.0632957,1.4729,9.79E+03
-0.185965,0.0637129,1.47281,9.56E+03
-0.184784,0.0641219,1.47273,9.14E+03
-0.183716,0.0644824,1.47266,8.79E+03
-0.18264,0.0648378,1.47259,8.72E+03
-0.181579,0.0651787,1.47254,8.39E+03
-0.180682,0.0654576,1.4725,8.11E+03
-0.180017,0.0656614,1.47247,8.02E+03
-0.179362,0.0658616,1.47245,7.96E+03
-0.178706,0.0660632,1.47243,7.90E+03
-0.178049,0.0662657,1.47242,7.83E+03
-0.177392,0.0664682,1.47241,7.76E+03
-0.176737,0.0666711,1.4724,7.72E+03
-0.176076,0.0668755,1.4724,7.66E+03
-0.174861,0.0672461,1.47239,7.49E+03
-0.173298,0.0677109,1.47239,7.25E+03
-0.171715,0.0681677,1.47239,7.01E+03
-0.170085,0.0686255,1.47241,6.78E+03
-0.168445,0.069078,1.47244,6.75E+03
-0.167538,0.0693261,1.47246,6.78E+03
-0.166623,0.0695756,1.47248,6.78E+03
-0.165724,0.0698208,1.47251,6.74E+03
-0.164826,0.0700668,1.47255,6.68E+03
-0.163927,0.0703142,1.47259,6.64E+03
-0.162379,0.0707359,1.47266,6.53E+03
-0.160799,0.0711551,1.47274,6.45E+03
-0.158811,0.0716711,1.47284,6.15E+03
-0.15679,0.0721873,1.47296,5.78E+03
-0.154767,0.0726965,1.47309,5.56E+03
-0.152802,0.0731786,1.47323,5.52E+03
-0.151088,0.0735873,1.47336,5.48E+03
-0.149167,0.0740396,1.47351,5.34E+03
-0.147244,0.0744887,1.47368,5.22E+03
-0.145416,0.0749126,1.47384,5.09E+03
-0.143614,0.0753256,1.47401,4.98E+03
-0.141633,0.0757702,1.47421,4.83E+03
-0.13934,0.0762725,1.47444,4.63E+03
-0.136905,0.0767933,1.47469,4.48E+03
-0.134468,0.0773022,1.47495,4.32E+03
-0.132004,0.0778017,1.47522,4.20E+03
-0.12851,0.078479,1.47559,4.02E+03
-0.125085,0.0791127,1.47597,3.85E+03
-0.121667,0.0797245,1.47637,3.90E+03
-0.118734,0.0802358,1.47673,3.87E+03
-0.116724,0.0805794,1.47698,3.79E+03
-0.114345,0.0809791,1.47729,3.69E+03
-0.111979,0.0813663,1.4776,3.64E+03
-0.109609,0.0817389,1.4779,3.59E+03
-0.107232,0.0820978,1.47822,3.47E+03
-0.104604,0.0824793,1.47857,3.31E+03
-0.101975,0.0828455,1.47893,3.15E+03
-0.0993525,0.0831972,1.47929,3.07E+03
-0.0967365,0.0835375,1.47967,3.05E+03
-0.0928306,0.0840291,1.48024,3.02E+03
-0.0889161,0.0845002,1.48084,2.94E+03
-0.0845737,0.0849942,1.48152,2.81E+03
-0.081358,0.0853347,1.48203,2.77E+03
-0.0780866,0.0856539,1.48255,2.79E+03
-0.0728199,0.0861156,1.48342,2.70E+03
-0.0679358,0.0865025,1.48426,2.61E+03
-0.0644423,0.086753,1.48489,2.53E+03
-0.0615609,0.0869407,1.48543,2.48E+03
-0.0586852,0.087106,1.48597,2.42E+03
-0.0558174,0.0872481,1.48652,2.35E+03
-0.0529413,0.0873733,1.48707,2.31E+03
-0.049816,0.0874957,1.48766,2.28E+03
-0.0466855,0.0876049,1.48824,2.26E+03
-0.0435464,0.0877009,1.48881,2.23E+03
-0.0393176,0.0878132,1.48958,2.20E+03
-0.0350673,0.0879059,1.49036,2.20E+03
-0.0297941,0.087984,1.49132,2.15E+03
-0.0238592,0.0880149,1.4924,2.05E+03
-0.0183487,0.0879866,1.49341,1.99E+03
-0.0128727,0.0878988,1.49442,1.99E+03
-0.00744229,0.0877563,1.49541,1.96E+03
-0.00176737,0.0875676,1.49645,1.91E+03
0.00481365,0.0873062,1.49763,1.88E+03
0.0114012,0.0869964,1.49879,1.85E+03
0.0149648,0.0868089,1.4994,1.80E+03
0.0185819,0.0866074,1.50004,1.83E+03
0.0222247,0.0863772,1.50065,1.79E+03
0.0284622,0.0859177,1.50168,1.73E+03
0.0321355,0.0856099,1.50229,1.69E+03
0.0356662,0.0852878,1.50288,1.64E+03
0.0391911,0.0849468,1.50348,1.59E+03
0.0440085,0.0844561,1.5043,1.56E+03
0.0488396,0.083941,1.50511,1.54E+03
0.0542216,0.0833302,1.50599,1.53E+03
0.0595992,0.0826743,1.50688,1.51E+03
0.0664594,0.0817912,1.50798,1.49E+03
0.0727285,0.0809652,1.50892,1.49E+03
0.077558,0.0803259,1.5096,1.48E+03
0.0823978,0.0796859,1.51027,1.44E+03
0.0872341,0.0790373,1.51092,1.43E+03
0.0944437,0.0780289,1.51188,1.41E+03
0.100362,0.0771592,1.51265,1.40E+03
0.105993,0.0762977,1.51336,1.38E+03
0.111699,0.075395,1.51406,1.34E+03
0.117388,0.0744852,1.51471,1.35E+03
0.123085,0.0735856,1.5153,1.35E+03
0.128783,0.0726942,1.51584,1.35E+03
0.135672,0.0716275,1.51642,1.34E+03
0.143359,0.0704256,1.51697,1.31E+03
0.150969,0.0691929,1.51746,1.30E+03
0.158676,0.0679027,1.51791,1.26E+03
0.166329,0.0665887,1.51831,1.23E+03
0.173981,0.06525,1.51863,1.19E+03
0.181629,0.0638939,1.51889,1.16E+03
0.188606,0.06267,1.51906,1.14E+03
0.195588,0.0614812,1.51916,1.12E+03
0.201639,0.0604804,1.5192,1.10E+03
0.208649,0.0593596,1.51919,1.07E+03
0.21467,0.0584124,1.51916,1.07E+03
0.220594,0.057473,1.51915,1.06E+03
0.226518,0.0565307,1.51917,1.05E+03
0.231579,0.0557242,1.51921,1.04E+03
0.23677,0.0549127,1.51922,1.03E+03
0.243756,0.0538757,1.5191,1.00E+03
0.250035,0.053008,1.51888,9.74E+02
0.256373,0.0521916,1.51863,9.60E+02
0.270864,0.0504487,1.51794,9.48E+02
0.285285,0.0488083,1.51712,9.35E+02
0.296438,0.0475641,1.51641,9.30E+02
0.307034,0.0463967,1.51568,9.14E+02
0.317573,0.0452717,1.51487,8.95E+02
0.328062,0.04422,1.51402,8.90E+02
0.337258,0.0433647,1.51323,8.78E+02
0.34656,0.0425568,1.51239,8.61E+02
0.357053,0.0417081,1.51139,8.45E+02
0.363587,0.0412101,1.51075,8.35E+02
0.370135,0.0407256,1.51012,8.33E+02
0.376723,0.0402434,1.50956,8.36E+02
0.388038,0.0394316,1.50866,8.18E+02
0.398821,0.0387057,1.50776,7.99E+02
0.408244,0.0381296,1.50687,7.94E+02
0.417679,0.0376215,1.50587,7.81E+02
0.426453,0.0372076,1.50486,7.68E+02
0.435201,0.0368477,1.50382,7.54E+02
0.444006,0.0365185,1.50279,7.53E+02
0.453661,0.0361808,1.5017,7.51E+02
0.466422,0.0357846,1.50026,7.39E+02
0.480925,0.0354023,1.49856,7.19E+02
0.495459,0.0350892,1.49681,7.03E+02
0.509953,0.0348596,1.49511,6.93E+02
0.522561,0.0347232,1.49369,6.82E+02
0.535213,0.0346268,1.49227,6.73E+02
0.551402,0.0345433,1.49043,6.64E+02
0.567598,0.0345029,1.48855,6.55E+02
0.583553,0.0345108,1.4867,6.45E+02
0.599867,0.0345183,1.48496,6.31E+02
0.619493,0.0345142,1.4831,6.24E+02
0.639165,0.0345531,1.48133,6.22E+02
0.658844,0.0346376,1.47965,6.20E+02
0.673741,0.0347288,1.47844,6.19E+02
0.692017,0.0348634,1.477,6.15E+02
0.706415,0.0349799,1.47587,6.10E+02
0.719995,0.0350969,1.47482,6.04E+02
0.733553,0.0352227,1.47378,5.93E+02
0.747112,0.0353632,1.47275,5.82E+02
0.760673,0.0355183,1.47173,5.72E+02
0.775737,0.0357088,1.47061,5.75E+02
0.790849,0.0359189,1.46953,5.78E+02
0.809175,0.0361941,1.46829,5.80E+02
0.833635,0.036556,1.46681,5.76E+02
0.850861,0.0367864,1.46589,5.73E+02
0.875028,0.0370764,1.46471,5.62E+02
0.906472,0.0374716,1.46319,5.44E+02
0.9373,0.0378914,1.46171,5.29E+02
0.968087,0.0383311,1.46024,5.36E+02
0.998393,0.0387729,1.45883,5.42E+02
1.01736,0.0390448,1.45799,5.36E+02
1.03643,0.0393028,1.45722,5.39E+02
1.05554,0.0395616,1.45648,5.34E+02
1.08887,0.0400241,1.45519,5.22E+02
1.12221,0.040501,1.45393,5.10E+02
1.15514,0.0409696,1.45273,5.06E+02
1.18125,0.0413177,1.45184,5.05E+02
1.20266,0.0415792,1.45116,5.05E+02
1.22823,0.0418735,1.45039,5.01E+02
1.25398,0.0421704,1.44967,4.98E+02
1.28958,0.0425678,1.44873,4.95E+02
1.3285,0.0429731,1.44777,4.90E+02
1.36762,0.0433866,1.44688,4.89E+02
1.41243,0.0438883,1.4459,4.90E+02
1.43619,0.0441669,1.4454,4.89E+02
1.47841,0.0446738,1.44455,4.88E+02
1.51616,0.0451294,1.44379,4.87E+02
1.551,0.0455505,1.4431,4.85E+02
1.5858,0.0459784,1.44241,4.82E+02
1.6189,0.0463897,1.44176,4.84E+02
1.652,0.0468019,1.44114,4.82E+02
1.6851,0.0472206,1.44058,4.81E+02
1.71839,0.0476326,1.44005,4.80E+02
1.75731,0.0480951,1.43945,4.80E+02
1.7972,0.0485651,1.43884,4.78E+02
1.83229,0.0489725,1.43831,4.76E+02
1.86616,0.0493535,1.43779,4.73E+02
1.90012,0.0497132,1.43727,4.74E+02
1.92043,0.0499211,1.43696,4.74E+02
1.94842,0.050209,1.43654,4.72E+02
1.97637,0.0505095,1.43612,4.72E+02
2.00643,0.0508441,1.43568,4.72E+02
2.03645,0.0511942,1.43524,4.70E+02
2.06585,0.0515469,1.43482,4.71E+02
2.09524,0.0519013,1.4344,4.72E+02
2.12466,0.0522566,1.434,4.73E+02
2.16363,0.0527249,1.43348,4.73E+02
2.18083,0.0529306,1.43325,4.73E+02
2.2165,0.0533584,1.43278,4.73E+02
2.2337,0.0535667,1.43255,4.72E+02
2.26935,0.0539993,1.43209,4.71E+02
2.305,0.0544309,1.43162,4.70E+02
2.34065,0.0548608,1.43116,4.69E+02
2.37627,0.0552841,1.4307,4.69E+02
2.41189,0.0556959,1.43025,4.69E+02
2.4475,0.0560955,1.42983,4.69E+02
2.48323,0.0564819,1.42943,4.68E+02
2.51454,0.0568103,1.42909,4.67E+02
2.54627,0.05714,1.42877,4.67E+02
2.59192,0.0576169,1.42829,4.67E+02
2.64054,0.0581311,1.42779,4.66E+02
2.68917,0.0586503,1.42728,4.65E+02
2.73272,0.0591155,1.42684,4.64E+02
2.77637,0.0595756,1.4264,4.64E+02
2.83256,0.0601693,1.42584,4.63E+02
2.88122,0.0606815,1.42536,4.63E+02
2.90647,0.060938,1.42512,4.63E+02
2.94455,0.0613046,1.42476,4.63E+02
2.96988,0.0615349,1.42453,4.63E+02
3.00801,0.0618743,1.42419,4.63E+02
3.04079,0.0621628,1.4239,4.62E+02
3.07356,0.0624517,1.42361,4.62E+02
3.10778,0.0627535,1.42331,4.63E+02
3.14199,0.0630548,1.42301,4.63E+02
3.18337,0.06342,1.42266,4.63E+02
3.2108,0.0636625,1.42243,4.63E+02
3.2382,0.0639043,1.4222,4.63E+02
3.26569,0.0641468,1.42197,4.63E+02
3.30301,0.064477,1.42165,4.62E+02
3.34034,0.0648088,1.42134,4.61E+02
3.37876,0.06515,1.42101,4.61E+02
3.41717,0.0654877,1.42069,4.61E+02
3.4458,0.0657367,1.42045,4.61E+02
3.47445,0.0659825,1.42022,4.61E+02
3.50312,0.0662235,1.41999,4.61E+02
3.54349,0.0665609,1.41967,4.60E+02
3.58386,0.0669031,1.41935,4.60E+02
3.62404,0.0672473,1.41904,4.59E+02
3.65,0.0674704,1.41883,4.59E+02
3.67593,0.0676937,1.41863,4.59E+02
3.70186,0.0679183,1.41844,4.59E+02
3.73764,0.0682277,1.41817,4.59E+02
3.78953,0.0686725,1.41778,4.59E+02
3.84142,0.0691113,1.41741,4.59E+02
3.88308,0.0694583,1.41711,4.59E+02
3.92064,0.0697673,1.41685,4.59E+02
3.95821,0.0700731,1.41659,4.59E+02
4.01503,0.0705448,1.41619,4.58E+02
4.07187,0.0710196,1.41579,4.58E+02
4.09644,0.0712226,1.41562,4.58E+02
4.1415,0.0715858,1.41531,4.58E+02
4.18038,0.0718937,1.41506,4.58E+02
4.21027,0.0721312,1.41486,4.58E+02
4.24016,0.0723694,1.41467,4.58E+02
4.27004,0.0726081,1.41447,4.58E+02
4.29992,0.0728468,1.41427,4.58E+02
4.33004,0.0730869,1.41407,4.58E+02
4.36016,0.0733255,1.41387,4.58E+02
4.39654,0.0736116,1.41364,4.58E+02
4.43293,0.0738956,1.41341,4.58E+02
4.45885,0.0740983,1.41325,4.57E+02
4.49846,0.074414,1.413,4.57E+02
4.53724,0.0747328,1.41275,4.57E+02
4.55489,0.0748798,1.41263,4.57E+02
4.57074,0.0750118,1.41253,4.57E+02
4.58839,0.0751586,1.41241,4.57E+02
4.60603,0.0753051,1.4123,4.57E+02
4.61899,0.075412,1.41221,4.57E+02
4.63197,0.0755176,1.41213,4.57E+02
4.64741,0.0756417,1.41203,4.57E+02
4.66287,0.0757644,1.41194,4.57E+02
4.67665,0.0758728,1.41186,4.57E+02
4.69043,0.0759807,1.41177,4.57E+02
4.70421,0.0760884,1.41169,4.56E+02
4.71799,0.0761958,1.41161,4.56E+02
4.72904,0.0762819,1.41155,4.56E+02
4.74009,0.076368,1.41148,4.57E+02
4.75114,0.0764541,1.41142,4.57E+02
4.76219,0.0765401,1.41135,4.57E+02
4.77412,0.0766331,1.41128,4.57E+02
4.78606,0.0767261,1.41121,4.57E+02
4.79799,0.0768191,1.41114,4.57E+02
4.81967,0.076988,1.41101,4.56E+02
4.84135,0.0771567,1.41088,4.57E+02
4.86302,0.0773252,1.41076,4.57E+02
4.88404,0.0774885,1.41063,4.56E+02
4.90506,0.0776516,1.41051,4.56E+02
4.92608,0.0778144,1.41038,4.57E+02
4.94699,0.0779762,1.41026,4.57E+02
4.9679,0.0781379,1.41014,4.56E+02
4.98849,0.0782969,1.41001,4.57E+02
5.00909,0.0784557,1.40989,4.57E+02
5.02931,0.0786114,1.40977,4.57E+02
5.04953,0.0787669,1.40965,4.56E+02
5.06975,0.0789221,1.40953,4.57E+02
5.08989,0.0790765,1.40942,4.57E+02
5.10977,0.0792288,1.4093,4.56E+02
5.12965,0.0793808,1.40918,4.57E+02
5.14922,0.0795302,1.40907,4.57E+02
5.16879,0.0796794,1.40895,4.56E+02
5.18836,0.0798284,1.40883,4.57E+02
5.20765,0.079975,1.40872,4.56E+02
5.22694,0.0801215,1.40861,4.57E+02
5.24623,0.0802677,1.40849,4.57E+02
5.28021,0.0805248,1.40829,4.57E+02
5.29901,0.0806665,1.40818,4.57E+02
5.30608,0.0807199,1.40814,4.56E+02
5.31315,0.0807732,1.4081,4.56E+02
5.32022,0.0808264,1.40806,4.57E+02
5.32729,0.0808796,1.40801,4.57E+02
5.33436,0.0809329,1.40797,4.57E+02
5.34143,0.0809861,1.40793,4.56E+02
5.34611,0.0810213,1.4079,4.56E+02
5.34729,0.0810301,1.4079,4.56E+02
5.34743,0.0810312,1.4079,4.56E+02
5.34747,0.0810315,1.4079,4.56E+02
5.34748,0.0810315,1.4079,4.56E+02
5.34748,0.0810316,1.4079,4.56E+02
5.34748,0.0810316,1.4079,4.56E+02
-0.232841,0.0316179,1.48651,2.82E+04
-0.232839,0.0317503,1.4865,3.18E+04
-0.232837,0.031903,1.48649,3.60E+04
-0.232835,0.032061,1.48648,3.61E+04
-0.232833,0.0322202,1.48647,3.40E+04
-0.23283,0.0323823,1.48646,3.18E+04
-0.232827,0.0325479,1.48645,3.47E+04
-0.232823,0.0327325,1.48643,3.46E+04
-0.232819,0.0329167,1.48642,3.46E+04
-0.232815,0.0331012,1.48641,3.44E+04
-0.232811,0.0332843,1.4864,3.41E+04
-0.232806,0.0334678,1.48638,3.38E+04
-0.2328,0.0336498,1.48637,3.34E+04
-0.232792,0.033832,1.48635,3.31E+04
-0.232782,0.0340135,1.48634,3.27E+04
-0.23277,0.0341885,1.48632,3.20E+04
-0.232757,0.0343607,1.4863,3.25E+04
-0.232741,0.0345429,1.48628,3.19E+04
-0.232722,0.0347251,1.48626,3.16E+04
-0.232701,0.034907,1.48624,3.12E+04
-0.232678,0.0350771,1.48622,3.03E+04
-0.232654,0.0352455,1.4862,2.90E+04
-0.232628,0.0354137,1.48618,2.94E+04
-0.232599,0.0355818,1.48616,3.01E+04
-0.232559,0.0357949,1.48613,3.02E+04
-0.232517,0.0360052,1.48611,2.96E+04
-0.23247,0.0362152,1.48608,2.84E+04
-0.232395,0.0365277,1.48603,2.62E+04
-0.232342,0.0367315,1.486,2.59E+04
-0.232286,0.0369354,1.48597,2.60E+04
-0.232227,0.0371408,1.48594,2.60E+04
-0.232137,0.0374389,1.48589,2.57E+04
-0.232066,0.0376636,1.48586,2.55E+04
-0.232012,0.0378313,1.48583,2.51E+04
-0.231957,0.037999,1.4858,2.47E+04
-0.2319,0.0381676,1.48578,2.43E+04
-0.23184,0.0383418,1.48575,2.42E+04
-0.231753,0.0385905,1.48571,2.41E+04
