X,Y,Z,
-0.215015,0.0316179,1.48467,
-0.215021,0.0318567,1.48464,
-0.215024,0.0321086,1.48461,
-0.215025,0.0323626,1.48458,
-0.215022,0.032628,1.48454,
-0.215017,0.0328542,1.48451,
-0.215009,0.0330832,1.48448,
-0.214995,0.0334305,1.48443,
-0.214984,0.0337204,1.48437,
-0.214965,0.0341799,1.48427,
-0.214947,0.0346444,1.48415,
-0.21494,0.0348228,1.4841,
-0.214935,0.0349345,1.48407,
-0.21493,0.0350466,1.48403,
-0.214923,0.0352236,1.48398,
-0.214914,0.0354002,1.48392,
-0.214906,0.0355764,1.48387,
-0.2149,0.0356975,1.48383,
-0.214894,0.0358173,1.48379,
-0.214883,0.0360017,1.48372,
-0.214872,0.0361856,1.48366,
-0.21486,0.0363688,1.48359,
-0.214847,0.0365514,1.48352,
-0.214837,0.036683,1.48347,
-0.214827,0.0368141,1.48341,
-0.214811,0.0370158,1.48333,
-0.214793,0.0372162,1.48325,
-0.214775,0.0374153,1.48316,
-0.214759,0.0375767,1.48309,
-0.214743,0.037737,1.48301,
-0.214725,0.0378969,1.48294,
-0.214705,0.0380618,1.48286,
-0.214684,0.0382261,1.48278,
-0.214653,0.0384448,1.48267,
-0.214625,0.0386348,1.48257,
-0.214601,0.0387819,1.48249,
-0.214576,0.0389284,1.48242,
-0.214549,0.0390745,1.48234,
-0.21452,0.0392269,1.48226,
-0.21449,0.0393786,1.48217,
-0.214473,0.0394555,1.48213,
-0.214457,0.0395315,1.48209,
-0.21444,0.0396072,1.48205,
-0.214423,0.0396826,1.482,
-0.214406,0.0397578,1.48196,
-0.214388,0.0398326,1.48191,
-0.21437,0.0399072,1.48187,
-0.214351,0.0399815,1.48182,
-0.214333,0.0400556,1.48178,
-0.214314,0.0401293,1.48173,
-0.214294,0.0402027,1.48169,
-0.214274,0.0402758,1.48164,
-0.214254,0.0403485,1.48159,
-0.214234,0.0404209,1.48155,
-0.214223,0.040457,1.48152,
-0.214218,0.040475,1.48151,
-0.214217,0.0404795,1.48151,
-0.214216,0.0404817,1.48151,
-0.214216,0.0404828,1.48151,
-0.214215,0.0404858,1.48151,
-0.214214,0.0404903,1.4815,
-0.214212,0.040497,1.4815,
-0.214209,0.0405071,1.48149,
-0.214204,0.0405221,1.48148,
-0.214198,0.0405447,1.48147,
-0.214187,0.0405786,1.48144,
-0.214172,0.0406292,1.48141,
-0.214149,0.0407049,1.48136,
-0.214112,0.0408178,1.48128,
-0.214055,0.0409854,1.48117,
-0.213989,0.0411695,1.48104,
-0.213919,0.0413517,1.48091,
-0.213814,0.0416038,1.48073,
-0.213702,0.0418524,1.48054,
-0.213583,0.0420976,1.48036,
-0.213456,0.0423395,1.48018,
-0.213321,0.0425775,1.48,
-0.213156,0.0428481,1.47979,
-0.21298,0.0431132,1.47958,
-0.212795,0.0433729,1.47937,
-0.21258,0.0436505,1.47915,
-0.212367,0.0439037,1.47894,
-0.212142,0.0441501,1.47874,
-0.211984,0.044313,1.4786,
-0.21174,0.0445492,1.4784,
-0.211464,0.0447988,1.47819,
-0.211177,0.0450401,1.47798,
-0.210929,0.0452365,1.4778,
-0.210581,0.0454949,1.47757,
-0.210217,0.0457461,1.47734,
-0.209803,0.0460152,1.47709,
-0.209377,0.0462748,1.47685,
-0.209011,0.0464865,1.47666,
-0.208638,0.0466924,1.47647,
-0.20826,0.0468929,1.47628,
-0.207877,0.047089,1.4761,
-0.207488,0.0472811,1.47593,
-0.206835,0.0475908,1.47565,
-0.206171,0.0478895,1.47538,
-0.205534,0.0481618,1.47514,
-0.20489,0.0484259,1.47491,
-0.204239,0.0486843,1.4747,
-0.203754,0.0488725,1.47455,
-0.203264,0.0490593,1.47441,
-0.202768,0.0492445,1.47428,
-0.202414,0.0493744,1.47419,
-0.201748,0.0496135,1.47402,
-0.201008,0.0498695,1.47385,
-0.200256,0.0501212,1.47369,
-0.199501,0.0503673,1.47355,
-0.198736,0.0506121,1.47341,
-0.197962,0.0508562,1.47327,
-0.197186,0.0510973,1.47315,
-0.196404,0.0513366,1.47303,
-0.195319,0.0516627,1.47288,
-0.194231,0.0519839,1.47274,
-0.193425,0.0522188,1.47264,
-0.192621,0.0524518,1.47256,
-0.191694,0.0527204,1.47247,
-0.190774,0.0529852,1.47239,
-0.189851,0.0532439,1.47232,
-0.188927,0.0534969,1.47225,
-0.188,0.0537446,1.47219,
-0.187071,0.0539875,1.47213,
-0.186442,0.0541495,1.4721,
-0.186027,0.054256,1.47208,
-0.185614,0.0543634,1.47206,
-0.185217,0.0544689,1.47204,
-0.184821,0.0545779,1.47203,
-0.184427,0.0546907,1.47202,
-0.184034,0.0548072,1.47201,
-0.182807,0.0551786,1.472,
-0.181668,0.0555193,1.47201,
-0.180529,0.0558504,1.47202,
-0.179388,0.0561736,1.47203,
-0.178243,0.056489,1.47205,
-0.177096,0.0567967,1.47208,
-0.175931,0.0571021,1.4721,
-0.174664,0.0574317,1.47213,
-0.173041,0.0578555,1.47219,
-0.171343,0.0583016,1.47227,
-0.169648,0.0587492,1.47237,
-0.167838,0.0592272,1.47249,
-0.166415,0.0596012,1.47259,
-0.164726,0.0600407,1.47273,
-0.163047,0.0604732,1.47287,
-0.161366,0.0608983,1.47302,
-0.159683,0.061316,1.47317,
-0.157999,0.061727,1.47334,
-0.156307,0.0621361,1.47351,
-0.154449,0.0625882,1.47371,
-0.152824,0.0629931,1.47391,
-0.151268,0.0633856,1.47412,
-0.149685,0.0637767,1.47434,
-0.147834,0.0642238,1.47459,
-0.145981,0.0646615,1.47484,
-0.144768,0.0649459,1.47501,
-0.143582,0.0652266,1.47519,
-0.142399,0.0655094,1.47539,
-0.141784,0.065657,1.47549,
-0.141187,0.0658002,1.47559,
-0.14059,0.0659431,1.4757,
-0.139994,0.0660857,1.4758,
-0.139392,0.0662289,1.4759,
-0.138205,0.0665071,1.4761,
-0.137017,0.0667796,1.47629,
-0.135809,0.0670506,1.47649,
-0.133912,0.0674632,1.47677,
-0.131995,0.0678664,1.47705,
-0.130064,0.0682593,1.47733,
-0.128102,0.0686446,1.4776,
-0.125545,0.069124,1.47797,
-0.122877,0.0696006,1.47838,
-0.120198,0.0700632,1.47879,
-0.117435,0.0705315,1.47923,
-0.114008,0.0711001,1.47976,
-0.110579,0.071656,1.4803,
-0.107147,0.0721995,1.48084,
