CFD-a,CFD-a,SIM-a,SIM-a,CFD-b,CFD-b,SIM-b,SIM-b,CFD-c,CFD-c,SIM-c,SIM-c,CFD-d,CFD-d,SIM-d,SIM-d,CFD-e,CFD-e,SIM-e,SIM-e
0,40000,0,40000,0,40000,0,40000,0,40000,0,40000,0,40000,0,40000,0,40000,0,40000
1.63E-04,37324,0.00275,39109.69519,1.63E-04,37550,0.00275,39091.11634,0.00652,37932,0.00275,39060.21101,1.63E-04,37226,0.004,38798.35132,1.65E-04,37202,0.0055,38494.91468
3.51E-04,38254,0.0052,38353.48843,3.50E-04,38430,0.0052,38283.09951,0.00671,38658,0.00521,38166.60594,3.51E-04,38216,0.00739,37839.79087,3.55E-04,38190,0.00988,37361.09825
5.41E-04,38498,0.00743,37692.95401,5.39E-04,38666,0.00744,37542.16466,0.0069,38882,0.00745,37294.53043,5.41E-04,38500,0.01037,37039.1804,5.47E-04,38468,0.01362,36449.62715
7.37E-04,38162,0.00949,37103.65056,7.35E-04,38418,0.0095,36847.63557,0.00709,38772,0.00952,36431.37739,7.38E-04,38112,0.01306,36348.69002,7.46E-04,38108,0.01693,35684.62656
9.38E-04,37700,0.0114,36569.12548,9.35E-04,37988,0.01143,36186.26757,0.00728,38402,0.01147,35571.1763,9.38E-04,37634,0.01552,35738.92996,9.45E-04,37558,0.01992,35022.8361
0.00114,37754,0.0132,36077.81209,0.00113,37966,0.01324,35549.30786,0.00747,38238,0.01331,34711.74635,0.00113,37684,0.01781,35190.61035,0.00114,37652,0.02266,34437.3714
0.00133,37998,0.0149,35621.29545,0.00133,38234,0.01496,34930.85425,0.00765,38306,0.01507,33853.09015,0.00133,38000,0.01994,34690.42368,0.00132,38016,0.0252,33910.42973
0.00153,37954,0.01651,35193.28209,0.00154,38202,0.0166,34326.88213,0.00784,38444,0.01676,32996.43995,0.00153,37952,0.02196,34228.82634,0.00152,37986,0.02759,33429.64004
0.00175,37780,0.01805,34788.95729,0.00176,38038,0.01817,33734.63895,0.00805,38338,0.01838,32143.67188,0.00175,37780,0.02386,33798.7585,0.00174,37802,0.02984,32986.07536
0.00197,37600,0.01952,34404.56721,0.00197,37948,0.01969,33152.25225,0.00825,38226,0.01996,31296.93999,0.00196,37562,0.02568,33394.86389,0.00195,37534,0.03197,32573.09601
0.00218,37534,0.02093,34037.13808,0.00217,37816,0.02115,32578.46752,0.00844,38072,0.02149,30458.44708,0.00217,37540,0.02741,33012.99236,0.00215,37560,0.034,32185.63949
0.00239,37584,0.0223,33684.28173,0.00238,37840,0.02256,32012.46822,0.00864,38036,0.02299,29630.30383,0.00237,37600,0.02908,32649.87085,0.00236,37634,0.03594,31819.76523
0.00261,37608,0.02362,33344.05768,0.00259,37794,0.02394,31453.74943,0.00883,37910,0.02446,28814.44566,0.00259,37622,0.03068,32302.87876,0.00258,37600,0.0378,31472.35175
