cfd-a,cfd-a,sim-a,sim-a,cfd-b,cfd-b,sim-b,sim-b,cfd-c,cfd-c,sim-c,sim-c,cfd-d,cfd-d,sim-d,sim-d,cfd-e,cfd-e,sim-e,sim-e
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.48E-06,1.63E-04,0,0.00275,3.56E-06,1.63E-04,0,0.00275,4.90E-06,0.00652,0,0.00275,7.60E-07,1.63E-04,0,0.004,4.40E-07,1.65E-04,0,0.0055
3.14E-06,3.51E-04,4.39E-05,0.0052,7.48E-06,3.50E-04,8.78E-05,0.0052,1.08E-05,0.00671,1.32E-04,0.0052,1.84E-06,3.51E-04,6.53E-05,0.00739,1.00E-06,3.55E-04,9.17E-05,0.00988
4.70E-06,5.41E-04,1.23E-04,0.00743,1.16E-05,5.39E-04,2.46E-04,0.00743,1.70E-05,0.0069,3.70E-04,0.00743,2.76E-06,5.41E-04,1.78E-04,0.01037,1.48E-06,5.47E-04,2.42E-04,0.01362
6.40E-06,7.37E-04,2.32E-04,0.00948,1.60E-05,7.34E-04,4.64E-04,0.00948,2.39E-05,0.00709,6.96E-04,0.00948,3.60E-06,7.38E-04,3.27E-04,0.01305,2.06E-06,7.46E-04,4.34E-04,0.01692
8.18E-06,9.38E-04,3.66E-04,0.01139,2.06E-05,9.35E-04,7.32E-04,0.01139,3.11E-05,0.00728,0.0011,0.01138,4.54E-06,9.38E-04,5.07E-04,0.01551,2.70E-06,9.45E-04,6.61E-04,0.0199
1.00E-05,0.00114,5.22E-04,0.01318,2.54E-05,0.00113,0.00104,0.01318,3.88E-05,0.00747,0.00157,0.01317,5.64E-06,0.00113,7.12E-04,0.01778,3.14E-06,0.00114,9.15E-04,0.02263
1.21E-05,0.00133,6.98E-04,0.01487,3.06E-05,0.00133,0.0014,0.01486,4.74E-05,0.00765,0.00209,0.01484,6.82E-06,0.00133,9.40E-04,0.01991,3.62E-06,0.00132,0.00119,0.02516
1.42E-05,0.00153,8.91E-04,0.01647,3.68E-05,0.00153,0.00178,0.01645,5.73E-05,0.00784,0.00267,0.01643,8.04E-06,0.00153,0.00119,0.02191,4.00E-06,0.00152,0.00149,0.02752
1.66E-05,0.00175,0.0011,0.01799,4.36E-05,0.00176,0.0022,0.01797,6.96E-05,0.00804,0.0033,0.01793,9.32E-06,0.00175,0.00145,0.02379,4.32E-06,0.00174,0.0018,0.02975
1.91E-05,0.00197,0.00132,0.01945,5.14E-05,0.00197,0.00265,0.01942,8.31E-05,0.00825,0.00397,0.01936,1.03E-05,0.00196,0.00173,0.02559,4.74E-06,0.00195,0.00214,0.03186
2.16E-05,0.00218,0.00156,0.02085,5.98E-05,0.00217,0.00312,0.0208,9.78E-05,0.00844,0.00468,0.02072,1.14E-05,0.00217,0.00202,0.0273,5.22E-06,0.00215,0.00248,0.03386
2.44E-05,0.00239,0.00181,0.02219,6.89E-05,0.00238,0.00362,0.02212,1.14E-04,0.00864,0.00543,0.02202,1.23E-05,0.00237,0.00233,0.02893,5.72E-06,0.00236,0.00284,0.03577
2.70E-05,0.00261,0.00207,0.02348,7.86E-05,0.00258,0.00414,0.02339,1.33E-04,0.00883,0.00621,0.02326,1.33E-05,0.00259,0.00265,0.0305,5.90E-06,0.00258,0.00321,0.03759
2.99E-05,0.00283,0.00234,0.02472,8.88E-05,0.00279,0.00468,0.02462,1.54E-04,0.00903,0.00702,0.02445,1.43E-05,0.00281,0.00298,0.03201,6.04E-06,0.0028,0.00359,0.03935
3.30E-05,0.00305,0.00262,0.02593,1.02E-04,0.00301,0.00525,0.0258,1.78E-04,0.00923,0.00786,0.02559,1.52E-05,0.00304,0.00332,0.03347,6.16E-06,0.00303,0.00398,0.04103
3.67E-05,0.00329,0.00292,0.02709,1.15E-04,0.00322,0.00583,0.02694,2.03E-04,0.00943,0.00873,0.02668,1.66E-05,0.00327,0.00367,0.03487,6.88E-06,0.00325,0.00438,0.04266
4.10E-05,0.00352,0.00322,0.02823,1.30E-04,0.00342,0.00642,0.02804,2.29E-04,0.00963,0.00962,0.02773,1.80E-05,0.00351,0.00403,0.03623,7.66E-06,0.00347,0.00479,0.04423
4.56E-05,0.00374,0.00352,0.02932,1.46E-04,0.00363,0.00704,0.0291,2.59E-04,0.00983,0.01054,0.02874,1.93E-05,0.00374,0.00439,0.03755,8.22E-06,0.00368,0.0052,0.04575
5.07E-05,0.00398,0.00384,0.03039,1.63E-04,0.00383,0.00767,0.03013,2.92E-04,0.01003,0.01147,0.02971,2.10E-05,0.00397,0.00477,0.03883,8.88E-06,0.00389,0.00563,0.04722
5.62E-05,0.00421,0.00416,0.03143,1.81E-04,0.00402,0.00831,0.03113,3.29E-04,0.01024,0.01243,0.03064,2.28E-05,0.0042,0.00515,0.04007,9.54E-06,0.00411,0.00606,0.04865
6.20E-05,0.00443,0.00449,0.03244,2.02E-04,0.00423,0.00897,0.03209,3.71E-04,0.01046,0.01341,0.03154,2.50E-05,0.00444,0.00554,0.04128,1.03E-05,0.00435,0.0065,0.05004
6.83E-05,0.00465,0.00483,0.03343,2.24E-04,0.00445,0.00964,0.03303,4.17E-04,0.01068,0.01441,0.0324,2.76E-05,0.00467,0.00593,0.04245,1.11E-05,0.00458,0.00694,0.05139
7.47E-05,0.00486,0.00517,0.03439,2.49E-04,0.00466,0.01032,0.03394,4.65E-04,0.01089,0.01543,0.03323,3.06E-05,0.0049,0.00633,0.04359,1.22E-05,0.00481,0.0074,0.0527
8.15E-05,0.00507,0.00552,0.03533,2.75E-04,0.00486,0.01102,0.03483,5.14E-04,0.01109,0.01646,0.03403,3.41E-05,0.00515,0.00674,0.04471,1.38E-05,0.00506,0.00785,0.05398
8.93E-05,0.0053,0.00588,0.03625,3.04E-04,0.00507,0.01173,0.03569,5.68E-04,0.0113,0.01751,0.0348,3.83E-05,0.0054,0.00715,0.0458,1.61E-05,0.00532,0.00831,0.05523
