CFD-a,CFD-a.1,SIM-a,SIM-a.1,CFD-b,CFD-b.1,SIM-b,SIM-b.1,CFD-c,CFD-c.1,SIM-c,SIM-c.1,CFD-d,CFD-d.1,SIM-d,SIM-d.1,CFD-e,CFD-e.1,SIM-e,SIM-e.1
0.0,40000.0,0.0,40000.0,0.0,40000.0,0.0,40000.0,0.0,40000.0,0.0,40000.0,0.0,40000.0,0.0,40000.0,0.0,40000.0,0.0,40000.0
0.000163,37324.0,0.000163,39936.406799285716,0.000163,37550.0,0.000163,39935.079738571425,0.00275,39310.666666666664,0.00275,39060.21101,0.000163,37226.0,0.000163,39939.917566000004,0.000165,37202.0,0.000165,39942.11210307692
0.000351,38254.0,0.000351,39872.813598571425,0.00035,38430.0,0.00035,39870.15947714286,0.00521,38621.333333333336,0.00521,38166.60594,0.000351,38216.0,0.000351,39879.835132,0.000355,38190.0,0.000355,39884.22420615385
0.000541,38498.0,0.000541,39809.22039785714,0.000539,38666.0,0.000539,39805.23921571429,0.00652,37932.0,0.00652,38021.26002166667,0.000541,38500.0,0.000541,39819.752698,0.000547,38468.0,0.000547,39826.33630923077
0.000737,38162.0,0.000737,39745.62719714286,0.000735,38418.0,0.000735,39740.318954285714,0.00671,38658.0,0.00671,37875.914103333336,0.000738,38112.0,0.000738,39759.670264,0.000746,38108.0,0.000746,39768.44841230769
0.000938,37700.0,0.000938,39682.033996428574,0.000935,37988.0,0.000935,39675.39869285714,0.0069,38882.0,0.0069,37730.568185,0.000938,37634.0,0.000938,39699.587830000004,0.000945,37558.0,0.000945,39710.56051538462
0.00114,37754.0,0.00114,39618.44079571428,0.00113,37966.0,0.00113,39610.47843142857,0.00709,38772.0,0.00709,37585.222266666664,0.00113,37684.0,0.00113,39639.505396,0.00114,37652.0,0.00114,39652.67261846154
0.00133,37998.0,0.00133,39554.847595,0.00133,38234.0,0.00133,39545.558170000004,0.00728,38402.0,0.00728,37439.87634833333,0.00133,38000.0,0.00133,39579.422962,0.00132,38016.0,0.00132,39594.78472153846
0.00153,37954.0,0.00153,39491.254394285716,0.00154,38202.0,0.00154,39480.63790857143,0.00745,38320.0,0.00745,37294.53043,0.00153,37952.0,0.00153,39519.340528,0.00152,37986.0,0.00152,39536.89682461538
0.00175,37780.0,0.00175,39427.661193571425,0.00176,38038.0,0.00176,39415.717647142854,0.00747,38238.0,0.00747,37222.60101,0.00175,37780.0,0.00175,39459.258094000004,0.00174,37802.0,0.00174,39479.00892769231
0.00197,37600.0,0.00197,39364.06799285714,0.00197,37948.0,0.00197,39350.797385714286,0.00765,38306.0,0.00765,37150.67159,0.00196,37562.0,0.00196,39399.17566,0.00195,37534.0,0.00195,39421.12103076923
0.00218,37534.0,0.00218,39300.47479214286,0.00217,37816.0,0.00217,39285.87712428572,0.00784,38444.0,0.00784,37078.74217,0.00217,37540.0,0.00217,39339.093226,0.00215,37560.0,0.00215,39363.23313384615
0.00239,37584.0,0.00239,39236.88159142857,0.00238,37840.0,0.00238,39220.95686285714,0.00805,38338.0,0.00805,37006.81275,0.00237,37600.0,0.00237,39279.010792,0.00236,37634.0,0.00236,39305.34523692308
0.00261,37608.0,0.00261,39173.28839071428,0.00259,37794.0,0.00259,39156.03660142857,0.00825,38226.0,0.00825,36934.88333,0.00259,37622.0,0.00259,39218.928358000005,0.00258,37600.0,0.00258,39247.45734
0.00275,37570.0,0.00275,39109.69519,0.00275,37763.0,0.00275,39091.11634,0.00844,38072.0,0.00844,36862.95391,0.00281,37558.0,0.00281,39158.845924,0.0028,37558.0,0.0028,39189.56944307692
0.00283,37532.0,0.00283,39046.67796,0.00279,37732.0,0.00279,39028.96119923077,0.00864,38036.0,0.00864,36791.02449,0.00304,37522.0,0.00304,39098.76349,0.00303,37530.0,0.00303,39131.68154615385
0.00305,37474.0,0.00305,38983.660729999996,0.00301,37666.0,0.00301,38966.80605846154,0.00883,37910.0,0.00883,36719.09507,0.00327,37418.0,0.00327,39038.681056,0.00325,37444.0,0.00325,39073.79364923077
0.00329,37390.0,0.00329,38920.6435,0.00322,37624.0,0.00322,38904.65091769231,0.00903,37876.0,0.00903,36647.16565,0.00351,37362.0,0.00351,38978.598622000005,0.00347,37390.0,0.00347,39015.90575230769
0.00352,37354.0,0.00352,38857.62627,0.00343,37594.0,0.00343,38842.495776923075,0.00924,37762.0,0.00924,36575.23623,0.00374,37256.0,0.00374,38918.516188,0.00368,37282.0,0.00368,38958.01785538462
0.00374,37242.0,0.00374,38794.609039999996,0.00363,37502.0,0.00363,38780.340636153844,0.00944,37642.0,0.00944,36503.30681,0.00397,37088.0,0.00397,38858.433754,0.00389,37104.0,0.00389,38900.12995846154
0.00398,37056.0,0.00398,38731.59181,0.00383,37358.0,0.00383,38718.18549538461,0.00952,37589.0,0.00952,36431.37739,0.004,37019.0,0.004,38798.35132,0.00411,36966.0,0.00411,38842.24206153846
0.00421,36932.0,0.00421,38668.57458,0.00403,37162.0,0.00403,38656.03035461539,0.00964,37536.0,0.00964,36345.357281000004,0.0042,36950.0,0.0042,38729.882716428576,0.00435,36768.0,0.00435,38784.35416461538
