cfd-a,cfd-a.1,sim-a,sim-a.1,cfd-b,cfd-b.1,sim-b,sim-b.1,cfd-c,cfd-c.1,sim-c,sim-c.1,cfd-d,cfd-d.1,sim-d,sim-d.1,cfd-e,cfd-e.1,sim-e,sim-e.1
0.75002,0.05716294117647058,0.75002,0.08598,1.54374,0.0079025,1.54374,0.02705,2.39636,0.016055714285714288,2.39636,0.00132,0.79238,0.120216,0.79238,0.12411,0.81996,0.19469571428571428,0.81996,0.16195
0.75084,0.05713235294117647,0.75084,0.08597,1.54555,0.00792,1.54555,0.02705,2.39917,0.01608714285714286,2.39917,0.00132,0.7932,0.120197,0.7932,0.12411,0.82079,0.19470285714285715,0.82079,0.16195
0.75165,0.05710176470588235,0.75165,0.08597,1.54736,0.0079375,1.54736,0.02705,2.40199,0.01611857142857143,2.40199,0.00132,0.79403,0.120178,0.79403,0.12411,0.82163,0.19471,0.82163,0.16196
0.75246,0.057071176470588236,0.75246,0.08596,1.54917,0.007955,1.54917,0.02704,2.403,0.01615,2.403,0.00132,0.79485,0.120159,0.79485,0.12411,0.82246,0.19471714285714284,0.82246,0.16196
0.75328,0.057040588235294114,0.75328,0.08596,1.55098,0.0079725,1.55098,0.02704,2.4048,0.01618076923076923,2.4048,0.00132,0.79523,0.12014,0.79523,0.12411,0.8233,0.1947242857142857,0.8233,0.16196
0.75385,0.05701,0.75385,0.085955,1.5521,0.00799,1.5521,0.02704,2.40762,0.01621153846153846,2.40762,0.00132,0.79568,0.12012333333333333,0.79568,0.12411,0.82414,0.19473142857142856,0.82414,0.16197
0.75409,0.056979999999999996,0.75409,0.08595,1.55279,0.008007058823529412,1.55279,0.02704,2.41043,0.01624230769230769,2.41043,0.00132,0.79651,0.12010666666666667,0.79651,0.12411,0.82497,0.19473857142857143,0.82497,0.16197
0.7549,0.05695,0.7549,0.08595,1.5546,0.008024117647058824,1.5546,0.02704,2.41325,0.016273076923076925,2.41325,0.00132,0.79733,0.12009,0.79733,0.12411,0.82581,0.19474571428571427,0.82581,0.16198
0.75572,0.05692,0.75572,0.08595,1.55641,0.008041176470588236,1.55641,0.02704,2.41606,0.016303846153846155,2.41606,0.00132,0.79816,0.12007333333333332,0.79816,0.12411,0.82664,0.19475285714285714,0.82664,0.16198
0.75653,0.056889999999999996,0.75653,0.08594,1.55822,0.008058235294117647,1.55822,0.02704,2.41888,0.016334615384615385,2.41888,0.00132,0.79899,0.12005666666666666,0.79899,0.12411,0.82741,0.19476,0.82741,0.161985
0.75735,0.05686,0.75735,0.08594,1.56002,0.008075294117647059,1.56002,0.02703,2.42169,0.016365384615384615,2.42169,0.00132,0.79982,0.12004,0.79982,0.12411,0.82748,0.19476681818181818,0.82748,0.16199
0.75816,0.05683,0.75816,0.08593,1.56184,0.00809235294117647,1.56184,0.02703,2.42451,0.016396153846153845,2.42451,0.00132,0.80064,0.12002333333333333,0.80064,0.12411,0.82832,0.19477363636363634,0.82832,0.16199
0.75898,0.056799999999999996,0.75898,0.08593,1.56365,0.008109411764705882,1.56365,0.02703,2.42732,0.016426923076923075,2.42732,0.00131,0.80147,0.12000666666666666,0.80147,0.12411,0.82915,0.19478045454545453,0.82915,0.16199
0.75979,0.05677,0.75979,0.08592,1.56546,0.008126470588235294,1.56546,0.02703,2.43014,0.01645769230769231,2.43014,0.00131,0.8023,0.11999,0.8023,0.12411,0.82999,0.19478727272727273,0.82999,0.162
0.76061,0.05674,0.76061,0.08592,1.56727,0.008143529411764706,1.56727,0.02703,2.43296,0.01648846153846154,2.43296,0.00131,0.80313,0.11997333333333333,0.80313,0.12411,0.83083,0.1947940909090909,0.83083,0.162
0.76142,0.05671,0.76142,0.08591,1.56908,0.008160588235294117,1.56908,0.02703,2.43577,0.01651923076923077,2.43577,0.00131,0.80395,0.11995666666666666,0.80395,0.12411,0.83166,0.19480090909090908,0.83166,0.16201
0.76224,0.05668,0.76224,0.08591,1.57089,0.008177647058823529,1.57089,0.02702,2.43759,0.01655,2.43759,0.00131,0.80478,0.11993999999999999,0.80478,0.12411,0.8325,0.19480772727272727,0.8325,0.16201
0.76305,0.05665,0.76305,0.08591,1.5727,0.00819470588235294,1.5727,0.02702,2.43859,0.01657857142857143,2.43859,0.00131,0.80561,0.11992333333333333,0.80561,0.12411,0.83334,0.19481454545454543,0.83334,0.16201
0.76387,0.056620000000000004,0.76387,0.0859,1.57451,0.008211764705882352,1.57451,0.02702,2.44141,0.016607142857142855,2.44141,0.00131,0.80644,0.11990666666666666,0.80644,0.12411,0.83417,0.19482136363636363,0.83417,0.16202
0.76468,0.05659,0.76468,0.0859,1.57632,0.008228823529411764,1.57632,0.02702,2.44422,0.016635714285714285,2.44422,0.00131,0.80727,0.11989,0.80727,0.12411,0.83501,0.19482818181818182,0.83501,0.16202
0.7655,0.05656,0.7655,0.08589,1.57814,0.008245882352941176,1.57814,0.02702,2.44704,0.016664285714285715,2.44704,0.00131,0.8081,0.11987333333333333,0.8081,0.12411,0.83585,0.19483499999999998,0.83585,0.16203
0.76632,0.056530000000000004,0.76632,0.08589,1.57995,0.008262941176470587,1.57995,0.02702,2.44986,0.01669285714285714,2.44986,0.00131,0.80892,0.11985666666666667,0.80892,0.12411,0.83669,0.19484181818181817,0.83669,0.16203
0.76709,0.0565,0.76709,0.08588499999999999,1.5805,0.00828,1.5805,0.02702,2.45268,0.01672142857142857,2.45268,0.00131,0.80975,0.11983999999999999,0.80975,0.12411,0.83753,0.19484863636363636,0.83753,0.16203
0.76713,0.056473333333333334,0.76713,0.08588,1.58176,0.008298749999999999,1.58176,0.02702,2.45549,0.01675,2.45549,0.00131,0.81058,0.11982333333333332,0.81058,0.1241,0.83836,0.19485545454545455,0.83836,0.16204
0.76795,0.056446666666666666,0.76795,0.08588,1.58357,0.008317499999999999,1.58357,0.02701,2.45831,0.016778571428571427,2.45831,0.00131,0.81141,0.11980666666666666,0.81141,0.1241,0.8392,0.19486227272727272,0.8392,0.16204
0.76877,0.05642,0.76877,0.08588,1.58539,0.00833625,1.58539,0.02701,2.46113,0.016807142857142857,2.46113,0.00131,0.81174,0.11979,0.81174,0.1241,0.84004,0.1948690909090909,0.84004,0.16205
0.76958,0.05639333333333334,0.76958,0.08587,1.5872,0.008355,1.5872,0.02701,2.46395,0.016835714285714284,2.46395,0.00131,0.81224,0.11977333333333333,0.81224,0.1241,0.84088,0.1948759090909091,0.84088,0.16205
0.7704,0.05636666666666667,0.7704,0.08587,1.58901,0.00837375,1.58901,0.02701,2.46677,0.016864285714285714,2.46677,0.0013,0.81307,0.11975666666666666,0.81307,0.1241,0.84172,0.19488272727272726,0.84172,0.16205
0.77122,0.05634,0.77122,0.08586,1.59083,0.0083925,1.59083,0.02701,2.46959,0.016892857142857143,2.46959,0.0013,0.8139,0.11974,0.8139,0.1241,0.84256,0.19488954545454545,0.84256,0.16206
0.77204,0.05631333333333333,0.77204,0.08586,1.59264,0.00841125,1.59264,0.02701,2.47241,0.01692142857142857,2.47241,0.0013,0.81473,0.11972333333333333,0.81473,0.1241,0.84339,0.19489636363636365,0.84339,0.16206
0.77285,0.056286666666666665,0.77285,0.08585,1.59445,0.00843,1.59445,0.027,2.47266,0.01695,2.47266,0.0013,0.81556,0.11970666666666667,0.81556,0.1241,0.84423,0.1949031818181818,0.84423,0.16207
0.77367,0.056260000000000004,0.77367,0.08585,1.59627,0.00844875,1.59627,0.027,2.47522,0.01697923076923077,2.47522,0.0013,0.81639,0.11968999999999999,0.81639,0.1241,0.84479,0.19491,0.84479,0.16207
0.77449,0.05623333333333334,0.77449,0.08585,1.59808,0.0084675,1.59808,0.027,2.47804,0.01700846153846154,2.47804,0.0013,0.81722,0.11967333333333333,0.81722,0.1241,0.84507,0.19491652173913043,0.84507,0.16207
0.77531,0.05620666666666667,0.77531,0.08584,1.5999,0.00848625,1.5999,0.027,2.48086,0.01703769230769231,2.48086,0.0013,0.81805,0.11965666666666666,0.81805,0.1241,0.84591,0.19492304347826087,0.84591,0.16208
0.77613,0.05618,0.77613,0.08584,1.60171,0.008505,1.60171,0.027,2.48368,0.017066923076923077,2.48368,0.0013,0.81888,0.11964,0.81888,0.1241,0.84675,0.1949295652173913,0.84675,0.16208
0.77694,0.05615333333333333,0.77694,0.08583,1.60353,0.00852375,1.60353,0.027,2.4865,0.017096153846153848,2.4865,0.0013,0.81971,0.11962333333333333,0.81971,0.1241,0.84759,0.19493608695652173,0.84759,0.16208
0.77776,0.056126666666666665,0.77776,0.08583,1.60534,0.008542500000000001,1.60534,0.027,2.48933,0.017125384615384615,2.48933,0.0013,0.82054,0.11960666666666667,0.82054,0.1241,0.84843,0.19494260869565216,0.84843,0.16209
0.77858,0.0561,0.77858,0.08583,1.60716,0.008561250000000001,1.60716,0.02699,2.49215,0.017154615384615386,2.49215,0.0013,0.82137,0.11959,0.82137,0.1241,0.84927,0.19494913043478262,0.84927,0.16209
0.7794,0.056073333333333336,0.7794,0.08582,1.60882,0.00858,1.60882,0.02699,2.49497,0.017183846153846154,2.49497,0.0013,0.82221,0.11957333333333334,0.82221,0.1241,0.85011,0.19495565217391306,0.85011,0.1621
0.78022,0.05604666666666667,0.78022,0.08582,1.60897,0.008598823529411765,1.60897,0.02699,2.49779,0.017213076923076925,2.49779,0.0013,0.82304,0.11955666666666667,0.82304,0.1241,0.85095,0.1949621739130435,0.85095,0.1621
0.78059,0.05602,0.78059,0.085815,1.61079,0.00861764705882353,1.61079,0.02699,2.50061,0.017242307692307692,2.50061,0.0013,0.82387,0.11954000000000001,0.82387,0.1241,0.85179,0.19496869565217392,0.85179,0.1621
0.78104,0.05599222222222222,0.78104,0.08581,1.6126,0.008636470588235294,1.6126,0.02699,2.50343,0.017271538461538463,2.50343,0.0013,0.8247,0.11952333333333333,0.8247,0.1241,0.85263,0.19497521739130436,0.85263,0.16211
0.78186,0.05596444444444444,0.78186,0.08581,1.61442,0.00865529411764706,1.61442,0.02699,2.50625,0.01730076923076923,2.50625,0.00129,0.82553,0.11950666666666666,0.82553,0.1241,0.85347,0.1949817391304348,0.85347,0.16211
0.78268,0.05593666666666667,0.78268,0.08581,1.61624,0.008674117647058823,1.61624,0.02699,2.50664,0.01733,2.50664,0.00129,0.82636,0.11949,0.82636,0.1241,0.85431,0.19498826086956522,0.85431,0.16212
0.7835,0.05590888888888889,0.7835,0.0858,1.61805,0.008692941176470589,1.61805,0.02699,2.50907,0.01735923076923077,2.50907,0.00129,0.8272,0.11947333333333333,0.8272,0.1241,0.85515,0.19499478260869565,0.85515,0.16212
